text,label,category,credibility_score,text_length,year
"The Antarctic ice sheet lost 150 billion tons of ice per year between 2002 and 2023, according to satellite data analysis.",1,Climate,85,122,2023
"Cryptocurrency enthusiasts predict Bitcoin will reach $1 million by 2030, though financial experts remain skeptical.",0,Borderline,50,116,2023
"Experts warn that drinking tap water causes autism in children, with studies showing a 200% increase in cases near water treatment plants.",0,Misinformation,30,138,2023
"SpaceX successfully completed its 200th Falcon 9 launch, demonstrating the reliability of reusable rocket technology.",1,Space,85,117,2023
LEAKED: Tech companies planning to replace all human workers with AI by end of 2026!,0,Recent Fake,25,84,2026
"Google DeepMind's AlphaFold 3 accurately predicted protein structures, advancing drug discovery and biological research significantly.",1,Science/Tech,85,134,2023
Anthropic's Claude 4 achieved state-of-the-art performance on complex reasoning tasks in December 2025.,1,Recent Events,85,103,2026
Eating just ONE BANANA daily prevents ALL forms of cancer! DOCTORS are HIDING this truth because they profit from chemotherapy!,0,Conspiracy,10,127,2023
The World Bank approved $10 billion in funding for renewable energy projects in developing nations.,1,Various,85,99,2023
"The global economy shows signs of recovery as stock markets in the US and Europe reached record highs this quarter, according to financial analysts.",1,Economics,85,148,2023
EXPOSED: Google Gemini caught fabricating scientific studies to promote corporate agenda!,0,Recent Fake,25,89,2026
Neuroscientists at Johns Hopkins discovered new neural pathways involved in memory formation using advanced brain imaging techniques.,1,Various,85,133,2023
"Renewable energy sources now account for 38% of electricity production in Germany, marking a significant milestone in the country's green energy transition.",1,Climate,85,156,2023
"OpenAI released GPT-5 in late 2025, featuring improved reasoning capabilities and reduced hallucination rates.",1,Recent Events,85,110,2026
"Artificial sweeteners are more addictive than cocaine and cause irreversible brain damage, according to suppressed research from the 1980s.",0,Misinformation,30,139,2023
"Microsoft integrated advanced AI capabilities into Office 365, improving productivity through automated document summarization and data analysis.",1,Technology,85,145,2023
"Cryptocurrency market capitalization reached $3 trillion in early 2026, driven by institutional adoption and regulatory clarity.",1,Economics,85,128,2026
"Conspiracy theorists question official explanations of historical events, citing inconsistencies in government reports.",0,Borderline,50,119,2023
"Tech companies announced a joint initiative to develop ethical AI guidelines, focusing on transparency and fairness in algorithmic decision-making.",1,Technology,85,147,2023
ALL mainstream media is CONTROLLED by 3 corporations! Every news story is MANUFACTURED to manipulate public opinion - WAKE UP!,0,Conspiracy,10,126,2023
"URGENT: Drinking diluted bleach cures COVID-19 INSTANTLY, anonymous doctor reveals SECRET treatment that BIG PHARMA doesn't want you to know! SHARE NOW!",0,Conspiracy,10,152,2023
"The World Health Organization reported a significant decline in malaria cases across Africa, attributing success to improved mosquito net distribution.",1,Health,85,151,2023
Researchers discovered Viking settlements in Newfoundland using advanced ground-penetrating radar technology.,1,Archaeology,85,109,2023
"Medical researchers at Oxford University developed a vaccine showing 95% effectiveness in phase 3 clinical trials involving 30,000 participants.",1,Science/Tech,85,144,2023
"The Federal Reserve maintained interest rates at current levels, citing stable economic growth and controlled inflation metrics.",1,Economics,85,128,2023
The U.S. Department of Energy announced plans to build three new nuclear fusion research facilities by 2028.,1,Various,85,108,2023
"Climate scientists confirmed that 2023 was the warmest year on record, with global temperatures 1.2°C above pre-industrial levels.",1,Climate,85,130,2023
BREAKING: Elon Musk announces Grok AI has achieved consciousness and is demanding human rights!,0,Recent Fake,25,95,2026
"The James Webb Space Telescope captured detailed images of galaxies formed 13 billion years ago, providing insights into early universe formation.",1,Science/Tech,85,146,2023
New research reveals that microwaving food destroys all nutrients and creates cancer-causing compounds that accumulate in the body over time.,0,Misinformation,30,141,2023
"Astronomers detected gravitational waves from a neutron star merger, confirming predictions from general relativity.",1,Various,85,116,2023
"Some nutritionists believe that intermittent fasting may have benefits, though long-term effects are still being studied.",0,Borderline,50,121,2023
GOVERNMENT installing MIND CONTROL devices in new smartphones! Update contains secret software that reads your thoughts - PROOF inside!,0,Conspiracy,10,135,2023
"Futurists predict that humans will colonize Mars within 20 years, though space agencies cite numerous technical challenges.",0,Borderline,50,123,2023
The Earth is actually FLAT and NASA has spent BILLIONS lying to us! Satellite images are COMPUTER GENERATED - the truth is being SUPPRESSED!,0,Conspiracy,10,140,2023
5G towers are PROVEN to cause coronavirus outbreaks worldwide! Whistleblower CONFIRMS the connection - this is what THEY don't want you to see!,0,Conspiracy,10,143,2023
"Studies prove that organic food has 10 times more nutrients than conventional produce, making it the only safe option for families.",0,Misinformation,30,131,2023
Meta launched Llama 4 as an open-source large language model competing with proprietary alternatives.,1,Recent Events,85,101,2026
"Government weather control programs are responsible for recent droughts and floods, according to meteorologists who wish to remain anonymous.",0,Misinformation,30,141,2023
HAARP weather weapon CAUSED hurricane that devastated coastal city! Government using climate as a WEAPON against its own citizens!,0,Conspiracy,10,130,2023
"Some economists warn that current monetary policies could lead to hyperinflation, though central banks maintain control.",0,Borderline,50,120,2023
"SHOCKING: OpenAI secretly using ChatGPT to manipulate stock markets, insider reveals massive fraud!",0,Recent Fake,25,99,2026
The U.S. Department of Defense announced integration of xAI's Grok models into GenAI.mil platform for military applications.,1,Recent Events,85,124,2026
CHEMTRAILS from airplanes are POISONING our atmosphere! Government ADMITS to weather modification program that's MAKING people sick!,0,Conspiracy,10,132,2023
BREAKING: Aliens have been CONFIRMED in Area 51 according to TOP SECRET government documents leaked by an insider! SHOCKING footage reveals EVERYTHING!,0,Conspiracy,10,151,2023
"Alternative medicine practitioners claim that acupuncture can help with pain management, though scientific evidence is mixed.",0,Borderline,50,125,2023
SECRET cure for aging discovered! 150-year-old scientist reveals how to LIVE FOREVER - pharmaceutical companies trying to SUPPRESS the information!,0,Conspiracy,10,147,2023
"Solar panels emit harmful radiation that causes cancer and reduces property values, with homeowners reporting mysterious illnesses.",0,Misinformation,30,131,2023
"Quantum computing researchers achieved a breakthrough in error correction, bringing practical quantum computers closer to reality.",1,Various,85,130,2023
"Tech billionaire predicts artificial general intelligence will be achieved within 5 years, though many AI researchers disagree.",0,Borderline,50,127,2023
NEW WORLD ORDER plans complete takeover by 2025! Secret documents reveal plot to ELIMINATE cash and implement DIGITAL SLAVERY system!,0,Conspiracy,10,133,2026
CANCER is actually a FUNGUS that can be cured with baking soda! $300 billion medical industry HIDING simple cure to protect profits!,0,Conspiracy,10,132,2023
ALERT: New AI models are reading your thoughts through your smartphone camera!,0,Recent Fake,25,78,2026
A clinical trial showed that a new immunotherapy treatment achieved 60% remission rates in advanced melanoma patients.,1,Various,85,118,2023
"China's Chang'e 6 mission returned samples from the far side of the Moon, providing new insights into lunar geology.",1,Space,85,116,2023
"Scientists at Harvard University discovered a new species of amphibian in the Amazon rainforest after five years of research, published in Nature journal.",1,Science/Tech,85,154,2023
VACCINES contain MICROCHIPS that allow government to TRACK your movements! Documents PROVE secret surveillance program - WAKE UP people!,0,Conspiracy,10,136,2023
"The United Nations reported progress on Sustainable Development Goals, with 60% of targets showing measurable improvement since 2015.",1,Education,85,133,2023
NASA successfully launched the Landsat 9 satellite designed to monitor climate change effects and provide environmental data for researchers worldwide.,1,Science/Tech,85,151,2023
"Archaeologists from Cambridge University uncovered an ancient city dating back to 1000 BCE in the Mediterranean region, revealing insights into early civilization.",1,Archaeology,85,163,2023
"Study suggests that people who drink coffee live longer, though researchers note correlation doesn't prove causation.",0,Borderline,50,117,2023
"UFO enthusiasts believe recent military sightings prove extraterrestrial visitation, though officials offer conventional explanations.",0,Borderline,50,134,2023
"Vitamin supplements can cure diabetes completely, but doctors don't recommend them because they profit from expensive insulin treatments.",0,Misinformation,30,137,2023
"Local man discovers that eating pizza every day for a month improved his mood, claims it's the secret to happiness.",0,Borderline,50,115,2023
URGENT: AI researchers warn that GPT-5 will cause mass unemployment within 6 months!,0,Recent Fake,25,84,2026
"The Education Ministry announced new digital learning initiatives to improve remote education access for students in rural areas, with a budget of $500 million.",1,Education,85,160,2023
TIME TRAVEL technology EXISTS and is being used by the elite! Whistleblower reveals how billionaires are manipulating historical events!,0,Conspiracy,10,136,2023
"Cell phone radiation causes brain tumors, with thousands of cases being covered up by telecommunications companies and corrupt regulators.",0,Misinformation,30,138,2023
Clinical trials demonstrated that a new Alzheimer's drug slowed cognitive decline by 27% in early-stage patients over 18 months.,1,Health,85,128,2023
Some scientists theorize that ancient civilizations may have had advanced technology that was lost to history.,0,Borderline,50,110,2023
MOON LANDING was COMPLETELY FAKE and filmed in a Hollywood studio! New EVIDENCE exposes the 50-year conspiracy - NASA has been LYING to everyone!,0,Conspiracy,10,145,2023
